sample_index,hardware_time,dt_hw,read_time,dt_read,batch_time,dt_batch,Fx,Fy,Fz,Tx,Ty,Tz
69,0.138000000,0.002000000,0.139958103,0.002142464,0.139956182,0.002142502,0.008310819,-0.008953893,0.006520910,0.000001703,-0.000017131,0.000143643
70,0.140000000,0.002000000,0.142074561,0.002116458,0.142072461,0.002116279,0.000434989,0.016812112,-0.006469045,0.000183626,0.000192598,-0.000042873
71,0.142000000,0.002000000,0.143169831,0.001095270,0.143167778,0.001095317,0.000310770,0.005070930,0.010316231,-0.000098513,0.000092340,0.000062862
72,0.144000000,0.002000000,0.145333283,0.002163452,0.145329699,0.002161921,-0.003690740,0.009811906,0.013802723,0.000234070,0.000282085,-0.000044783
73,0.146000000,0.002000000,0.147513877,0.002180594,0.147510655,0.002180956,-0.003627585,0.000503859,-0.006491374,-0.000194551,0.000037242,0.000090339
74,0.148000000,0.002000000,0.149651550,0.002137673,0.149648879,0.002138224,0.006387434,0.010945100,-0.003309721,0.000090192,0.000139633,0.000010704
75,0.150000000,0.002000000,0.151792719,0.002141169,0.151790391,0.002141512,-0.009740822,0.004208061,0.000511746,-0.000053685,0.000340745,0.000010684
76,0.152000000,0.002000000,0.153940133,0.002147414,0.153937860,0.002147469,-0.015712383,-0.006305755,0.000581437,0.000048056,0.000177717,0.000174924
77,0.154000000,0.002000000,0.156077280,0.002137147,0.156076454,0.002138594,-0.011458504,0.014199731,0.003878607,-0.000004503,-0.000130914,0.000006804
78,0.156000000,0.002000000,0.157155209,0.001077929,0.157153192,0.001076738,-0.005661934,0.008783382,-0.006278448,-0.000101202,0.000199169,0.000066264
79,0.158000000,0.002000000,0.159282827,0.002127618,0.159280800,0.002127608,-0.015493345,0.005150813,-0.012914579,-0.000004100,-0.000020425,0.000063806
80,0.160000000,0.002000000,0.161415306,0.002132479,0.161413211,0.002132411,-0.007602994,0.007552031,-0.006275730,0.000044033,0.000115359,0.000093593
81,0.162000000,0.002000000,0.163540974,0.002125668,0.163538972,0.002125761,-0.009386256,-0.000916372,-0.009998383,0.000235922,-0.000158497,-0.000050099
82,0.164000000,0.002000000,0.165672924,0.002131950,0.165670769,0.002131797,-0.011549821,0.000380254,0.000502281,0.000050373,-0.000157056,0.000256172
83,0.166000000,0.002000000,0.167811141,0.002138217,0.167809024,0.002138255,0.012408796,0.004921530,0.003152296,0.000045827,-0.000051000,0.000062507
