time,Fx,Fy,Fz,Tx,Ty,Tz
5.210099377,-0.661856757,0.441261345,-4.246053309,-0.015439255,-0.004578990,0.002233793
5.212236872,-0.625740401,0.499544432,-4.021555334,-0.011796720,-0.004487404,0.001290856
5.214356374,-0.575646896,0.439932500,-4.241405295,-0.010799388,-0.006702012,0.000577704
5.216471212,-0.752669297,0.370219014,-4.305020342,-0.017045220,-0.002618089,0.001401727
5.218593079,-0.633526299,0.450749848,-4.106373924,-0.013858278,-0.005149260,0.001272120
5.220719145,-0.584246092,0.511488783,-4.164659072,-0.015821627,-0.007790561,0.001585042
5.221817240,-0.774067347,0.557886775,-4.274203082,-0.013263843,-0.002260439,0.002322684
5.223943184,-0.645431351,0.377468755,-4.252054876,-0.014920144,-0.004914716,0.001129269
5.226069700,-0.675599743,0.347854776,-4.429273188,-0.018664689,-0.004949666,0.001794033
5.228199240,-0.658361270,0.483501144,-4.371718954,-0.015041582,-0.005468755,0.001125007
5.230337216,-0.675273677,0.528657732,-4.016607020,-0.009831222,-0.004483262,0.001359858
5.232452520,-0.609074086,0.502141786,-3.965782386,-0.012134554,-0.005820490,0.000569579
5.234575048,-0.783129852,0.470785225,-4.274905638,-0.014563520,-0.000801813,0.001842279
5.236701997,-0.649658250,0.501726161,-4.235824055,-0.014357864,-0.004030007,0.001640393
5.237798227,-0.539765826,0.522438624,-4.347991968,-0.013545449,-0.006706970,0.001319121
5.239933284,-0.696837342,0.469883368,-4.213793600,-0.015078292,-0.002261064,0.001789887
5.242061412,-0.559124158,0.459442078,-4.065001381,-0.013896453,-0.006454091,0.001255079
5.244188824,-0.760773240,0.445748887,-4.102990193,-0.014256854,0.000717936,0.002205760
5.246327455,-0.667069192,0.427402157,-4.267752592,-0.015172836,-0.005064567,0.000941276
5.248445141,-0.624135446,0.410942109,-4.170539967,-0.017264185,-0.004973152,0.001481649
5.250569429,-0.855979485,0.488551563,-4.354469034,-0.011126362,-0.000680174,0.001364523
5.252695287,-0.678059994,0.560508512,-4.319789054,-0.010831068,-0.004539018,0.000996355
5.253792284,-0.625031133,0.528482417,-4.041521570,-0.013707815,-0.006301343,0.001631847
5.255918556,-0.768511770,0.309255400,-4.306992807,-0.017560540,-0.000142369,0.002284986
5.258046512,-0.553008734,0.561645410,-4.227131369,-0.008611491,-0.006662393,0.000442103
5.260177457,-0.852922435,0.492644035,-4.440621783,-0.015782959,-0.000126806,0.002059206
5.262313912,-0.775354603,0.482246219,-4.212799734,-0.013161590,-0.003755569,0.001277809
5.264423901,-0.670107808,0.514781167,-4.206537945,-0.010379457,-0.005304980,0.000858325
5.266546357,-0.819874948,0.544459076,-4.548288183,-0.010002213,-0.002407517,0.000761460
5.268672701,-0.863050378,0.345730241,-4.557110207,-0.016825648,-0.000192465,0.002063937
5.269769378,-0.623172985,0.434782939,-4.298692823,-0.014443381,-0.005014544,0.001621197
5.271916560,-0.856780764,0.532410699,-4.203306944,-0.012143968,0.003284146,0.001682718
5.274057553,-0.689342335,0.527744627,-4.242768697,-0.012550275,-0.000255108,0.002090549
5.276195667,-0.641559934,0.484356947,-4.564455185,-0.015007553,-0.005759968,0.001223144
5.278337429,-0.686211243,0.534827204,-4.509574659,-0.012919993,-0.000330118,0.001637640
5.280457852,-0.665066223,0.506168422,-4.261351757,-0.013089424,-0.000545671,0.001327111
5.282581912,-0.860197329,0.391344489,-4.480979627,-0.016193098,0.001305575,0.002954073
5.284709388,-0.673047990,0.431265333,-4.277381318,-0.014014456,-0.004918971,0.001369208
5.285805897,-0.866959778,0.331192020,-4.498720347,-0.015687195,0.003340410,0.001935528
5.287932921,-0.760993208,0.248924024,-4.425815559,-0.015320117,0.002007029,0.002067818
5.290059466,-0.661639416,0.554665186,-4.316493013,-0.012742157,-0.001501907,-0.000207462
5.292186274,-0.761323351,0.393645730,-4.377379753,-0.015849553,-0.000869236,0.002194240
5.294327823,-0.658162157,0.441436978,-4.176094150,-0.013157843,-0.003094256,0.001080233
5.296425840,-0.866833024,0.474977644,-4.610444590,-0.015720773,0.004476156,0.002266507
5.298548641,-0.599557262,0.573650604,-4.686170372,-0.013349285,-0.001255407,0.002656126
5.300675635,-0.737433165,0.522895656,-4.517151179,-0.010138951,0.002621265,0.002214543
5.301772289,-0.689876556,0.161473731,-4.342376869,-0.020092688,0.004017693,0.003027442
5.303898187,-0.674012878,0.519166342,-4.389023800,-0.011254283,-0.003415086,-0.000756262
5.306024494,-0.850085051,0.372276332,-4.044903655,-0.019345952,0.004744710,0.002575863
5.308151989,-0.733647814,0.517377591,-4.278435469,-0.012654293,0.000689295,0.002046202
5.310303721,-0.746235565,0.423545129,-4.612059527,-0.017383788,0.002204098,0.002055780
5.312424869,-0.696235562,0.524027648,-4.345832846,-0.016446924,0.000734452,0.002485880
5.314551466,-0.876180022,0.439375547,-4.555744299,-0.015713790,0.006262584,0.002584016
5.316678102,-0.672014449,0.529486244,-4.229035378,-0.014082582,0.000199769,0.002396546
5.317774936,-0.688977730,0.426306727,-4.634830891,-0.014924245,0.000420261,0.002187942
5.319901310,-0.813351277,0.266024438,-4.789764660,-0.016268677,0.004726998,0.002859164
5.322027494,-0.568306491,0.426078815,-4.242539124,-0.015793044,-0.003780314,0.001344489
5.324154468,-0.999812448,0.558863261,-4.089943097,-0.011306488,0.012347028,0.002628290
5.326295691,-0.597271682,0.304374585,-4.900011474,-0.020052727,-0.003318081,0.001814386
5.328420835,-0.897678595,0.631353320,-4.853898268,-0.011956427,0.006711424,0.001353844
5.330545692,-0.815223811,0.403835558,-4.733767034,-0.018165554,0.004576738,0.002479006
5.332672146,-0.774796582,0.486304555,-4.598037674,-0.012589659,0.001418122,0.001881485
5.333768735,-0.854536544,0.386673423,-4.683803030,-0.014722876,0.004735555,0.001368317
5.335895337,-0.803691126,0.444921723,-4.308320596,-0.012837300,0.008472606,0.001791496
5.338021560,-0.660633480,0.596792473,-4.287843299,-0.013707183,-0.000125791,0.000174284
5.340163685,-0.874963289,0.583615504,-4.436620545,-0.012647081,0.004930161,0.002514279
5.342297909,-0.756522224,0.519648105,-4.579511122,-0.011543009,0.004585116,0.002460762
5.344419498,-0.845127959,0.519395362,-4.056829110,-0.012556140,0.005819401,0.002647374
5.346544139,-0.596563791,0.415374937,-4.056212581,-0.015111358,0.002364444,0.002633590
5.348672360,-0.702785101,0.519243078,-4.798196040,-0.009842000,0.003580609,0.001720602
5.349769004,-0.926554190,0.465042461,-4.455576754,-0.009357026,0.005977445,0.000672716
5.351895609,-0.765022858,0.450553026,-4.120396156,-0.017277531,0.003467108,0.003375526
5.354022527,-0.687270351,0.474908326,-4.802033291,-0.013136611,0.002938776,0.002166361
5.356149423,-0.741374437,0.340471878,-4.716760488,-0.011286785,0.005908993,0.002791545
5.358287476,-0.654695298,0.197206626,-4.712859959,-0.021974444,0.001206599,0.001291150
5.360416199,-0.632072160,0.535330762,-4.462482492,-0.010573979,0.003081768,0.001993180
5.362576236,-0.884757537,0.567807192,-4.787143115,-0.013140721,0.007391277,0.001534791
5.364713049,-0.809915468,0.571221125,-4.591421401,-0.014062415,0.003841008,0.001611968
5.365811723,-0.807702684,0.554266589,-4.245356517,-0.011780986,0.008592985,0.002456348
5.367938611,-0.712003716,0.559010395,-4.292383191,-0.012649958,0.002470888,0.000678311
5.370064940,-0.732657644,0.478490941,-4.302277920,-0.013156734,0.004679613,0.004325138
5.372192267,-0.780408038,0.451328527,-4.751883103,-0.013192906,0.005100901,0.001958257
5.374322285,-0.597837241,0.271732153,-4.367352794,-0.015353673,-0.000969050,0.001809053
5.376453495,-0.794003268,0.436268131,-4.678492778,-0.016407893,0.003378053,0.001130671
5.378585861,-0.846929850,0.489607347,-4.534006621,-0.008585915,0.006691094,0.001564647
5.380713687,-0.868540944,0.451265308,-4.860235512,-0.013260916,0.006504606,0.001871596
5.381809130,-0.601420329,0.443442524,-4.187803716,-0.018920485,0.000477159,0.002163910
5.383937596,-0.742042854,0.506665167,-4.475271490,-0.013004929,0.008658055,0.004422528
5.386068532,-0.784044330,0.352863811,-4.641572644,-0.016595811,0.006280519,0.001285564
5.388197790,-0.682713668,0.503361255,-4.356682173,-0.013486011,0.002690215,0.002043702
5.390334840,-0.750530533,0.391828365,-4.207923429,-0.014017529,0.005242810,0.000973501
5.392450068,-0.760497506,0.492719515,-4.294854952,-0.011531129,0.003286135,0.001127491
5.394582113,-0.906327633,0.464781549,-4.356197043,-0.013259199,0.006411283,0.002191353
5.396709182,-0.687349711,0.316086500,-4.472894957,-0.015794988,0.002229391,0.003177628
5.397804756,-0.773097132,0.363203541,-4.635692902,-0.019613588,0.005569485,0.004063481
5.399930529,-0.621266973,0.545591810,-4.139040668,-0.007913826,0.004019558,0.001793288
5.402057733,-0.696294689,0.523391491,-4.397360939,-0.012317944,0.003418253,0.000917702
5.404184228,-0.885071820,0.404909537,-4.498233349,-0.017389393,0.006942888,0.002489235
5.406321094,-0.680483167,0.451736250,-4.505539863,-0.015594984,0.002149887,0.002367262
5.408436396,-0.830554024,0.405223585,-4.280126427,-0.013584714,0.009050724,0.002596168
5.410564848,-0.855817780,0.507148928,-4.749539926,-0.012253818,0.005255996,0.001386235
5.412693114,-0.765208721,0.385810601,-4.550475039,-0.018612790,0.002739200,0.002631532
5.413790956,-0.942881257,0.288810333,-4.942026845,-0.023785042,0.006895863,0.003177290
5.415916818,-0.656371335,0.187650875,-5.001337267,-0.020478213,0.001807514,0.003147310
5.418042967,-0.459968393,0.434666854,-4.467903804,-0.015004492,-0.002948833,0.001213100
5.420171311,-0.916656700,0.462886551,-4.184541646,-0.010741502,0.014162794,0.002139992
5.422303019,-0.734944828,0.540302881,-4.664818822,-0.015179802,0.001014668,0.002693708
5.424422509,-0.624745560,0.414338154,-4.295532991,-0.015201048,0.007858801,0.003167992
5.426546958,-0.678431104,0.564739399,-4.818274446,-0.014045562,0.009027813,0.002422651
5.428674151,-0.663211815,0.404424455,-4.092857122,-0.016826434,0.007440546,0.002408075
5.429771041,-0.668524122,0.253315453,-4.416927198,-0.020315397,0.002872936,0.002225874
5.431896538,-0.711159922,0.540180824,-4.654435662,-0.016905855,0.005260128,0.001477844
5.434022293,-0.750623590,0.499966504,-4.498609145,-0.018354243,0.008866788,0.003563445
5.436148189,-0.498107736,0.535716845,-4.331843444,-0.013992057,0.007996063,0.002279649
5.438279400,-0.666783829,0.506942616,-4.668792447,-0.014882656,0.003535778,0.003587492
5.440397420,-0.941561165,0.377705026,-4.709669029,-0.020502208,0.004391525,0.003017629
5.442516506,-0.469517527,0.197589123,-4.093953734,-0.022738725,0.003203696,0.004084840
5.444645962,-0.816273102,0.514844143,-3.773857064,-0.011226199,0.018239851,0.001518147
5.445759856,-0.590208974,0.411243259,-3.918146905,-0.018451234,0.004401946,0.001147954
5.447885955,-0.662670369,0.683375823,-4.386916729,-0.014020867,0.002746670,0.003394642
5.450011242,-0.844983615,0.284470148,-4.640838782,-0.018682154,0.009853107,0.003152357
5.452137556,-0.703289866,0.291208846,-4.814895913,-0.020932081,0.001973831,0.004604966
5.454273673,-0.664400259,0.291373481,-4.304089151,-0.020956361,0.005784261,0.001975772
5.456394019,-0.695232058,0.196314671,-4.163408237,-0.022628992,0.007892935,0.004061218
5.458512533,-0.748748969,0.332290131,-4.590314489,-0.015568501,0.003662446,0.001082394
5.460643032,-0.738840197,0.278986977,-3.931785794,-0.013951502,0.006093796,0.002392718
5.461755223,-0.673713832,0.196687991,-4.003101586,-0.020435939,0.009063308,0.002783758
5.463881969,-0.652570209,0.546170504,-4.371685069,-0.014551866,0.005592473,0.002811529
5.466009810,-0.637058332,0.359883444,-3.915114699,-0.020735110,0.003356359,0.004052567
5.468136199,-0.607962602,0.264352629,-4.424147693,-0.017356020,0.006236337,0.002338604
