time,Fx,Fy,Fz,Tx,Ty,Tz
49.82000000,-1.23477239,0.36256737,2.90333675,-0.03879601,0.02424090,-0.00891829
49.82200000,-1.23148855,0.36008060,2.90048928,-0.03914517,0.02421868,-0.00886341
49.82400000,-1.23256309,0.37752646,2.89997910,-0.03907235,0.02421567,-0.00927737
49.82600000,-1.23239347,0.38691177,2.90807756,-0.03920458,0.02428431,-0.00950150
49.82800000,-1.23999779,0.38697977,2.91121842,-0.03894834,0.02430895,-0.00950009
49.83000000,-1.23983990,0.40051223,2.89441853,-0.03922567,0.02417193,-0.00982626
49.83200000,-1.23585152,0.39325904,2.87237891,-0.03910036,0.02398798,-0.00965373
49.83400000,-1.24827957,0.38626174,2.88018103,-0.03908702,0.02405149,-0.00948707
49.83600000,-1.24003508,0.38226863,2.90547793,-0.03885838,0.02426049,-0.00938742
49.83800000,-1.23806234,0.39271069,2.90994911,-0.03913864,0.02429984,-0.00963863
49.84000000,-1.23790038,0.38780545,2.89063930,-0.03895478,0.02413834,-0.00952115
49.84200000,-1.22095208,0.40221931,2.90193206,-0.03886532,0.02423376,-0.00986146
49.84400000,-1.23912361,0.39159865,2.90012474,-0.03860611,0.02421587,-0.00960657
49.84600000,-1.23120406,0.38703225,2.89812611,-0.03857716,0.02419910,-0.00949756
49.84800000,-1.24420484,0.38428366,2.89452074,-0.03899654,0.02417013,-0.00943785
49.85000000,-1.24317024,0.39840805,2.89832979,-0.03878506,0.02420217,-0.00977083
49.85200000,-1.25296034,0.40159410,2.88692541,-0.03871814,0.02410707,-0.00984687
49.85400000,-1.22939439,0.42425019,2.89673392,-0.03853232,0.02419082,-0.01038188
49.85600000,-1.23993604,0.42241983,2.87262787,-0.03876441,0.02399108,-0.01034311
49.85800000,-1.24634269,0.40983634,2.88544116,-0.03862178,0.02409539,-0.01004157
49.86000000,-1.24657720,0.39610045,2.89201503,-0.03839512,0.02414773,-0.00971188
49.86200000,-1.24481139,0.39244606,2.88264726,-0.03845318,0.02406997,-0.00962628
49.86400000,-1.25240855,0.40161273,2.88023881,-0.03842902,0.02405037,-0.00984432
49.86600000,-1.25189355,0.40211211,2.90076930,-0.03813394,0.02421958,-0.00985125
49.86800000,-1.26209392,0.40983352,2.89160522,-0.03839991,0.02414489,-0.01003893
49.87000000,-1.25800283,0.41683392,2.89359135,-0.03854300,0.02416281,-0.01020679
49.87200000,-1.25876358,0.41193770,2.88769396,-0.03884052,0.02411465,-0.01009436
49.87400000,-1.24890426,0.39726046,2.89839488,-0.03858268,0.02420148,-0.00974131
49.87600000,-1.27509266,0.39786608,2.88674489,-0.03858870,0.02410368,-0.00975739
49.87800000,-1.26698509,0.40244461,2.87923617,-0.03869496,0.02404259,-0.00986778
49.88000000,-1.26284522,0.40741305,2.89538235,-0.03874092,0.02417745,-0.00998520
49.88200000,-1.27284403,0.40831745,2.88787277,-0.03872440,0.02411467,-0.01000733
49.88400000,-1.26522081,0.41320097,2.90408094,-0.03906763,0.02425146,-0.01012616
49.88600000,-1.26063159,0.40653038,2.90599357,-0.03859807,0.02426493,-0.00996172
49.88800000,-1.26790636,0.42029730,2.89917804,-0.03852080,0.02420895,-0.01028878
49.89000000,-1.25777548,0.42147114,2.89256679,-0.03853759,0.02415472,-0.01031704
49.89200000,-1.26604501,0.42179785,2.91938533,-0.03861518,0.02437730,-0.01032413
49.89400000,-1.26449939,0.42260490,2.90549280,-0.03891075,0.02426340,-0.01034774
49.89600000,-1.25570720,0.43706813,2.92661303,-0.03885417,0.02444017,-0.01068918
49.89800000,-1.24814222,0.44150785,2.91898663,-0.03925104,0.02437931,-0.01079975
49.90000000,-1.25356076,0.43845780,2.93667274,-0.03880548,0.02452368,-0.01072088
49.90200000,-1.26426233,0.43231382,2.93062155,-0.03899083,0.02447320,-0.01057777
49.90400000,-1.24564121,0.43389139,2.93467411,-0.03877653,0.02450691,-0.01061187
49.90600000,-1.25743368,0.43621480,2.94046633,-0.03865548,0.02455415,-0.01066563
49.90800000,-1.26157534,0.44306116,2.94205390,-0.03888212,0.02456873,-0.01083111
49.91000000,-1.25454375,0.44724188,2.92750556,-0.03957110,0.02445161,-0.01093948
49.91200000,-1.24759912,0.44683855,2.95206189,-0.03904445,0.02465347,-0.01092172
